Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Sessions - Total,Sessions - Total - B2B,Order Item Session Percentage,Order Item Session Percentage - B2B,Average Offer Count
5/19/23,$263.91,$0.00,9,0,7,0,$37.70,$0.00,1.29,0.00,$29.32,$0.00,178,14,3.93%,0.00%,270
5/20/23,$264.88,$0.00,12,0,7,0,$37.84,$0.00,1.71,0.00,$22.07,$0.00,229,6,3.06%,0.00%,269
5/21/23,$24.99,$0.00,1,0,1,0,$24.99,$0.00,1.00,0.00,$24.99,$0.00,207,7,0.48%,0.00%,269
5/22/23,$458.48,$0.00,23,0,16,0,$28.66,$0.00,1.44,0.00,$19.93,$0.00,213,13,7.51%,0.00%,268
5/23/23,$414.34,$0.00,16,0,16,0,$25.90,$0.00,1.00,0.00,$25.90,$0.00,223,10,7.17%,0.00%,268
5/24/23,$343.84,$0.00,16,0,11,0,$31.26,$0.00,1.45,0.00,$21.49,$0.00,228,18,4.82%,0.00%,263
5/25/23,$189.90,$21.99,10,1,9,1,$21.10,$21.99,1.11,1.00,$18.99,$21.99,214,3,4.21%,33.33%,263
5/26/23,$446.78,$0.00,19,0,14,0,$31.91,$0.00,1.36,0.00,$23.51,$0.00,261,16,5.36%,0.00%,262
5/27/23,$427.81,$0.00,19,0,14,0,$30.56,$0.00,1.36,0.00,$22.52,$0.00,228,9,6.14%,0.00%,261
5/28/23,$331.86,$0.00,14,0,8,0,$41.48,$0.00,1.75,0.00,$23.70,$0.00,208,3,3.85%,0.00%,265
5/29/23,$319.86,$0.00,14,0,12,0,$26.66,$0.00,1.17,0.00,$22.85,$0.00,235,7,5.11%,0.00%,265
5/30/23,$260.11,$0.00,12,0,11,0,$23.65,$0.00,1.09,0.00,$21.68,$0.00,214,5,5.14%,0.00%,261
5/31/23,$348.35,$0.00,15,0,12,0,$29.03,$0.00,1.25,0.00,$23.22,$0.00,253,11,4.74%,0.00%,262
6/1/23,$291.66,$0.00,14,0,14,0,$20.83,$0.00,1.00,0.00,$20.83,$0.00,205,4,6.83%,0.00%,262
6/2/23,$562.46,$59.99,27,1,17,1,$33.09,$59.99,1.59,1.00,$20.83,$59.99,185,3,9.19%,33.33%,262
6/3/23,$166.92,$0.00,8,0,7,0,$23.85,$0.00,1.14,0.00,$20.86,$0.00,217,8,3.23%,0.00%,262
6/4/23,$309.78,$0.00,13,0,11,0,$28.16,$0.00,1.18,0.00,$23.83,$0.00,226,10,4.87%,0.00%,262
6/5/23,$464.22,$33.99,20,1,18,1,$25.79,$33.99,1.11,1.00,$23.21,$33.99,216,13,8.33%,7.69%,264
6/6/23,$230.88,$27.99,12,1,10,1,$23.09,$27.99,1.20,1.00,$19.24,$27.99,213,17,4.69%,5.88%,264
6/7/23,$429.79,$16.99,21,1,20,1,$21.49,$16.99,1.05,1.00,$20.47,$16.99,244,7,8.20%,14.29%,264
6/8/23,$346.87,$0.00,13,0,10,0,$34.69,$0.00,1.30,0.00,$26.68,$0.00,256,4,3.91%,0.00%,262
6/9/23,$385.87,$51.98,13,2,10,2,$38.59,$25.99,1.30,1.00,$29.68,$25.99,226,8,4.42%,25.00%,261
6/10/23,$156.92,$0.00,8,0,7,0,$22.42,$0.00,1.14,0.00,$19.62,$0.00,206,10,3.40%,0.00%,259
6/11/23,$265.89,$23.99,11,1,11,1,$24.17,$23.99,1.00,1.00,$24.17,$23.99,237,15,4.64%,6.67%,258
6/12/23,$582.76,$0.00,24,0,20,0,$29.14,$0.00,1.20,0.00,$24.28,$0.00,245,10,8.16%,0.00%,257
6/13/23,$305.85,$73.97,15,3,14,2,$21.85,$36.98,1.07,1.50,$20.39,$24.66,253,17,5.53%,11.76%,257
6/14/23,$415.73,$0.00,18,0,13,0,$31.98,$0.00,1.38,0.00,$23.10,$0.00,290,10,4.48%,0.00%,259
6/15/23,$352.34,$0.00,16,0,12,0,$29.36,$0.00,1.33,0.00,$22.02,$0.00,263,4,4.56%,0.00%,255
6/16/23,$520.80,$26.99,22,3,16,2,$32.55,$13.50,1.38,1.50,$23.67,$9.00,232,4,6.90%,50.00%,108
6/17/23,$313.86,$0.00,14,0,12,0,$26.16,$0.00,1.17,0.00,$22.42,$0.00,203,13,5.91%,0.00%,108
6/18/23,$261.90,$0.00,10,0,9,0,$29.10,$0.00,1.11,0.00,$26.19,$0.00,201,2,4.48%,0.00%,108
